name,latitude,longitude,size,color
INGENIO MARIA LUISA,2.701667,-76.826667,0.0,#556b2f
Popayan / Guillermo,2.4667,-76.6,3.0,#702963
PAPELES NACIONALES,4.91857,-74.02799,0.0,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
AGPE ENTREPALMAS,4.711,-74.0721,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
TEQUENDAMA BIOGAS,4.60971,-74.08175,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
AGPE - ECOPETROL LA HORMIGA,0.4396,-76.5113,0.0,#556b2f
Puerto Asis,0.5,-76.5,3.0,#702963
CAMPESTRE (EPM),6.09106,-75.63656,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
AMERICA,10.9184,-74.7646,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
TERMOBOLIVAR 1,10.3997,-75.5144,0.0,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
TEBSAB,10.9184,-74.7646,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
FLORES 4B,10.9639,-74.7963,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
FLORES 1,4.711,-74.0721,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
TERMOVALLE 1,3.4516,-76.532,0.0,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
EL MORRO 1,7.0652801,-73.8547201,0.0,#556b2f
Barrancabermeja / Yariguies,7.0167,-73.8,3.0,#702963
CIMARRON,6.252,-75.5751,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
EL MORRO 2,11.2408,-74.211,0.0,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
COGENERADOR COLTEJER 1,6.2476,-75.5612,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
AYURA,6.1846,-75.6088,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
AUTOG TERMOSURIA,2.934016,-75.28275,0.0,#556b2f
Neiva / Benito Salas,2.9667,-75.3,3.0,#702963
CARACOLI,6.412778,-74.771944,0.0,#556b2f
Otu / El Rhin,7.0,-74.7167,3.0,#702963
SANTA ANA,11.3833,-74.1667,0.0,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
TERMOEMCALI 1,3.4517923,-76.5324943,0.0,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
AUTOG FERTICOL,10.9878,-74.7889,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG FAMILIA,10.9596,-74.7885,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG UNIBOL,9.2368,-75.8134,0.0,#556b2f
Monteria / Los Garzones,8.8167,-75.85,3.0,#702963
PCH DE LA LIBERTAD,4.5499,-75.6608,0.0,#556b2f
Armenia / El Eden,4.5,-75.7167,3.0,#702963
SAN JOSE DE LA MONTAÑA,6.8478,-75.681128,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
JULIO BRAVO,10.9878,-74.7889,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
IQUIRA II,2.6389,-75.5289,0.0,#556b2f
Neiva / Benito Salas,2.9667,-75.3,3.0,#702963
Total SIN,10.9685,-74.7813,100.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
