name,latitude,longitude,size,color
Bucaramanga / Palonegro,7.1,-73.2,3.0,#702963
LUZMA II,7.1139,-73.1198,0.2,#556b2f
Bucaramanga / Palonegro,7.1,-73.2,3.0,#702963
MAYAGUEZ 1,6.55602,-75.82658,0.19,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
SAN ANDRES DE CUERQUIA,6.936314,-75.674308,0.19,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
AURES BAJO,4.60971,-74.08175,0.19,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
BARROSO,1.2891519,-77.4098498,0.19,#556b2f
Pasto / Antonio Narin,1.4167,-77.2667,3.0,#702963
PAIPA 2,5.7792,-73.1198,0.18,#556b2f
Bucaramanga / Palonegro,7.1,-73.2,3.0,#702963
SONSON,5.7089,-75.3103,0.18,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
SAN MATIAS,7.71104,-75.63159,0.18,#556b2f
Apartado / Los Cedros,7.8167,-76.7,3.0,#702963
INSULA,11.2404,-74.211,0.18,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
EL MOLINO,10.6519,-72.925,0.18,#556b2f
Valledupar / Alfonso Lopez,10.4333,-73.25,3.0,#702963
PROELECTRICA 2,10.9685,-74.7813,0.18,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
EL PASO,9.6625,-73.7467,0.17,#556b2f
Valledupar / Alfonso Lopez,10.4333,-73.25,3.0,#702963
CHARQUITO,4.5213,-75.661,0.17,#556b2f
Armenia / El Eden,4.5,-75.7167,3.0,#702963
LAGUNETA,4.151382,-73.637247,0.17,#556b2f
Villavicencio / Vanguardia,4.1667,-73.6167,3.0,#702963
RIO MAYO,4.711,-74.0721,0.17,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
INGENIO RISARALDA 1,5.1634,-75.7872,0.16,#556b2f
Manizales / La Nubia,5.0333,-75.4667,3.0,#702963
EL LIMONAR,3.5535,-76.4915,0.16,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
MORRO AZUL,5.6015,-74.1722,0.16,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
